employee_id,name,age,department,country,city,hire_date,employment_type,remote,performance,monthly_salary
1,Luis Díaz Pérez,8,Finance,ES,Valencia,2022-08-30,FULL_TIME,False,3.47,3054.84
2,Laura Navarro Sánchez,60,HR,IT,Rome,2018-07-17,FULL_TIME,False,1.89,3156.26
3,Irene Díaz Fernández,25,IT,NL,Bilbao,2022-08-11,FULL_TIME,False,2.42,2540.82
4,Pablo Gómez Fernández,30,Data,ES,Lyon,2024-08-27,CONTRACT,False,2.78,2809.67
5,Pablo Pérez Gómez,20,IT,IT,Amsterdam,2021-05-13,FULL_TIME,True,3.82,0
6,Adrián Rodríguez Gómez,41,Sales,DE,Valencia,2017-04-24,FULL_TIME,False,5.0,2893.95
7,Luis López Gómez,42,Sales,NL,Porto,2022-07-11,FULL_TIME,False,3.44,2428.85
8,Irene Romero González,20,Data,ES,Valencia,2024-05-31,FULL_TIME,False,2.37,1380.81
9,Lucía Fernández Pérez,50,Support,ES,Porto,2022-08-18,FULL_TIME,False,2.66,2724.43
10,Luis Fernández García,19,Finance,ES,Bilbao,2022-04-20,FULL_TIME,True,3.73,2737.2
11,Diego Martínez González,56,Data,DE,Amsterdam,2020-02-07,FULL_TIME,True,2.12,4177.42
12,Alba Romero Pérez,52,IT,IT,Bilbao,2017-01-25,PART_TIME,True,4.08,4342.08
13,Hugo Díaz Díaz,57,Support,PT,Berlin,2022-11-28,FULL_TIME,False,3.42,2828.03
14,Laura Gómez Díaz,24,IT,ES,Valencia,2019-06-17,FULL_TIME,True,3.1,2663.26
15,Hugo Gómez Ramos,59,HR,ES,Porto,2017-07-15,PART_TIME,False,1.85,3192.35
16,Laura Fernández Navarro,44,IT,FR,Milan,2020-06-01,FULL_TIME,False,3.94,2269.62
17,Diego López Martínez,59,Data,NL,Munich,2015-03-31,FULL_TIME,False,2.59,2075.33
18,María Fernández Romero,51,Data,ES,Bilbao,2020-09-27,FULL_TIME,False,3.32,2752.61
19,Nuria Romero Fernández,49,Operations,FR,Rotterdam,2021-01-07,FULL_TIME,True,3.07,3235.39
20,Elena Romero Navarro,20,Sales,PT,Milan,2019-05-15,FULL_TIME,False,1.93,1824.14
21,Diego Rodríguez Martínez,51,Sales,NL,Porto,2022-09-27,FULL_TIME,True,3.02,2967.28
22,Sofía López Romero,40,Finance,IT,Rotterdam,2021-06-07,FULL_TIME,False,2.23,2928.62
23,Carlos López Ramos,58,Sales,ES,Valencia,2019-01-10,FULL_TIME,True,2.68,2975.44
24,Noa Torres Vargas,51,IT,DE,Bilbao,2022-11-19,FULL_TIME,False,3.55,2137.53
25,Laura Pérez Torres,22,Operations,IT,Amsterdam,2016-04-13,FULL_TIME,False,3.76,2215.45
26,Raúl Romero García,60,Operations,NL,Rotterdam,2020-07-26,FULL_TIME,True,3.19,2487.21
27,Pablo Sánchez González,21,Data,FR,Milan,2016-07-18,FULL_TIME,True,2.49,3324.89
28,Nuria Vargas Díaz,33,Finance,ES,Valencia,2021-08-17,CONTRACT,False,2.68,3075.41
29,Diego Pérez Gómez,29,HR,FR,Sevilla,2015-03-13,FULL_TIME,False,2.67,1910.76
30,Pablo López Fernández,64,Finance,FR,Berlin,2024-06-15,FULL_TIME,False,1.49,4234.19
31,Elena Torres Vargas,26,Sales,ES,Madrid,2015-05-07,FULL_TIME,True,3.26,2400.77
32,Lucía Vargas García,58,Operations,NL,Rotterdam,2020-06-22,PART_TIME,True,1.87,1732.15
